Bus ID,Moovbox ID
130,204008998
131,204008977
132,204008992
133,204008997
134,204009014
135,204009000
136,204008999
137,204009525
138,204008661
139,204008971
140,204008556
141,204008804
142,204008571
143,204008554
144,204008979
145,204009432
146,204009474
147,204008806
148,204008973
149,204008807
150,204008811
151,204009528
152,204008660
153,204008817
154,204009013
155,204009508
156,204009454
157,204008980
158,204009509
159,204008570
160,204008969
161,204009529
162,204008993
163,204009431
164,204008991
165,204009452
166,204009530
167,204009453
168,204009481
169,204008644
170,204009011
171,204009502
172,204009511
173,204009012
174,204009433
175,204008843
176,204009476
177,204008816
178,204008995
179,204008975
180,204008968
181,204008994
182,204008810
183,204009015
184,204008978
185,204008809
186,204009506
187,204009475
188,204008812
189,204009505
190,204008689
191,204009504
192,204008966
193,204009478
194,204008814
195,204008818
196,204008976
197,204008805
198,204008797
199,204008808
201,204007778
202,204008541
203,204007783
204,204008607
205,204008539
206,204008540
207,204007780
208,204007917
209,204007905
210,204008627
211,204008633
212,204008650
213,204007910
214,204008538
215,204008624
216,204008606
217,204008626
218,204008649
219,204008542
220,204008628
2013,204008974
2015,204005970
2020,204008996
2023,921940
2116,204008803
2201,204008687
2202,204008642
2203,204008862
2204,204008549
2205,204008691
2206,204008664
2207,204008685
2209,204008682
2210,204009493
2212,204008985
2213,204008680
2215,204009480
2216,204009526
2217,204008684
2218,204009524
2219,204008665
2220,204008672
2221,204008694
2222,204008696
2223,204009434
2224,204009455
2225,204009491
2226,204009482
2227,204008659
2228,204008669
2229,204008678
2230,204008813
2231,204008683
2232,204008972
2233,204008702
2234,204008836
2235,204008693
2236,204009510
2237,204009531
2238,204009507
2239,204008815
2240,204008841
2241,204009492
2242,204009451
2243,204009527
2244,204008572
2245,204008641
2247,204008699
2248,204008550
2249,204009477
2250,204008967
2251,204009522
2252,204008648
2254,204008842
2255,204008840
2256,204008839
2301,204002442
2302,204002390
2303,204002382
2304,204002432
2305,204002399
2306,204002360
2307,204002413
2308,920579
2309,920956
2310,920976
2311,920987
2312,920971
2313,920967
2314,204002364
2315,204002424
2316,204002437
2317,920986
2318,204002393
2319,204002428
2320,204002425
2321,204002426
2322,204002363
2323,204002125
2324,204002373
2325,204002370
2326,204002418
2327,204002380
2328,204002430
2329,204002415
2330,204002441
2331,204002434
2332,204002121
2333,204002392
2334,204002385
2335,204002427
2336,204002361
2337,204002381
2338,204002440
2339,204002404
2340,204002443
4101,204009503
4102,204007784
4103,204008630
4104,204008625
4105,204008652
4106,204008651
4107,204008632
4108,204008605
4109,204007923
4110,204007907
4111,204007908
4112,204007912
4113,204007785
4114,204007919
4115,204007916
4116,204008653
4117,204007787
4118,204008608
4119,204007914
4120,204008604
4121,204007915
4122,204007911
4123,204002366
4124,204002362
4125,204002423
4126,204002454
4127,204002402
4128,204002391
4129,204002374
4130,204002376
4131,204002358
4132,204002438
4133,204002386
4134,204002387
4135,204002408
4136,204002405
4137,204002375
4138,204002421
4201,204003799
4202,204003948
4203,204002808
4204,204003409
4205,204003764
4206,204003414
4207,204002768
4208,204003560
4209,204003426
4210,204002774
4211,204003396
4212,204002769
4213,204003418
4214,204003425
4215,204003558
4216,204002766
4217,204002819
4218,204003422
4219,204003397
4220,204003234
4301,204001324
4302,204002796
4303,204002728
4304,204003402
4305,204003949
4306,204002822
4307,204002650
4308,204003772
4309,204003750
4310,204004287
4311,204002823
4312,204003431
4313,204004360
4314,204004357
4315,204004467
4316,204004427
4317,204004448
4318,204004324
4319,204004293
4320,204004481
4321,204004288
4322,204004555
4323,204004265
4324,204004266
4325,204004628
4326,204004451
4327,204004392
4328,204004447
4329,204004457
4401,204002379
4402,204002365
4403,204002406
4404,204002389
4405,204002383
4406,204002412
4407,204002439
4408,204002414
4409,204002419
4410,204002371
4411,204002435
4412,204002359
4413,204002384
4414,204002394
4415,204002403
8006,920839
8013,922013
8016,920983
8017,920805
8023,920952
8024,920884
